PID,DID,Conference,IsTopTier,Paper,Code Form,Domain,Analysis,Analysis Artifact,Artifact class,Transformation,Artifact form,Canonicalization,Canonicalization_Method,Split basis,Token Unit,Tokenization_Technique,Encoding,Encoding_NAs,Encoding examples,Embedding_Method,Embedding examples,Learning_Category,Learning_Subcategory,Learning_Trainable,for claude,Learning_Model,Learning_Model(Old),Inference_Category,Inference_Subcategory,Inference_Output,Evaluation_Metric
P142,D21,FSE,TRUE,MiSum: Multi-modality Heterogeneous Code Graph Learning for Multi-intent Binary Code Summarization,"Assembly, Decompiled code",Code summarization,Static Analysis > Disassembly; Static Analysis > Control-flow analysis; Static Analysis > Decompilation; Static Analysis > Data-flow analysis,Assembly; CFG; Pseudocode; AST; DFG,Code representations; Graph representations; Code representations; Graph representation; Graph representation,Code representations; Graph representations; Code representations; Graph representation; Graph representation -> Graph,Graph,Node attribute mapping; Edge attribute mapping; Structural transformation,Function-level (per-function CFG of basic blocks + jump edges) | Function-level (per-function AAST: AST nodes + CFG edges + DFG edges + NCS edges),N/A,N/A,N/A,Dense,Dense,Node feature mapping; adjacency matrix,Context-dependent,HMA-HMP,Generative,Generative,Yes,HMA-HMP,(HMA-HMP) + Transformer decoder,MiSum (MM-HCG heterogeneous graph encoder (HMA+HMP N=8 blocks h=16 heads) + Intent-Tailored Transformer decoder (IAAM + gated fusion)),Summarization,Function summarization,Multi-intent natural-language summary,BLEU; ROUGE-L; METEOR
P143,D22,SANER,FALSE,Using Recurrent Neural Networks for Decompilation,Byte,Pseudocode recovery (decompilation),Static > Disassembly | Static > Decompilation,Raw binary machine code bytes | C source code tokens (ground truth/decoder target),Code representations; Graph representations,Code representation; Graph representation -> Sequence,Sequence,"Byte sequence reversed before encoding | Strings -> STRING; functions beyond top-20 -> ""function""; variables beyond top-100 -> ""var_XXX""; integer-to-popularity-rank mapping",Function-level (AST-subtree-aligned pairs from modified Clang 3.7.1 dump; binary length <= 112 bytes; C length <= 88 tokens; 4 length buckets) | Statement-level (smallest AST subtree statement per pair),granularity-based,Byte-level; Lexer-based,Byte-level; Lexer-based,,Dense,Byte-level; Lexer-based,Context-dependent,LSTM encoder hidden states; LSTM decoder hidden states,Generative,Generative,Yes,,LSTM encoder-decoder,LSTM-based encoder-decoder (Seq2Seq; 4 layers; hidden dim=768; bucket-based training),Recovery,Symbol-name / pseudocode generation,Decompiled pseudocode token sequence,average edit distance; percent perfect
P144,D22,NeurIPS,TRUE,Coda: An End-to-End Neural Program Decompiler,Assembly,Pseudocode recovery (decompilation),Static > Disassembly,Assembly,Code representations,Code representation -> Sequence,Sequence,Abstraction by replacement ,Function-level (50000 randomly generated program pairs per benchmark; programs short S ~15 statements and long L ~30 statements; tree depth max 3; 10-20 percent token errors injected for EC stage; 35 percent tokens masked),Syntactic units,Instruction,Instruction-level,Sparse,N/A,N/A,Context-dependent,Tree-LSTM,Generative,Generative,Yes,Tree-LSTM,Tree-LSTM +  AST tree decoder with attention -> neural error predictor,Coda (N-ary Tree Encoder + Binary AST decoder + Neural Error Predictor (GRU-based N_EP=10 ensembled) + EC Machine),Recovery,Symbol-name / pseudocode generation,AST-based decompiled program,token accuracy; program accuracy
P145,D22,Cybersecurity,FALSE,Neutron: an attention-based neural decompiler,Assembly,Pseudocode recovery (decompilation),Static > Disassembly,x86-64 assembly code (Intel format),Code representations; Graph representations,Code representation; Graph representation -> Sequence,Sequence,Assembly instruction element replacement,Function-level (per-function assembly segment from angr CFG analysis; basic operation as translation unit instead of code line),granularity-based,Instruction-level,Instruction-level,,Dense,Instruction-level,Context-dependent,Bidirectional LSTM encoder with Luong attention,Generative,Generative,Yes,,Neutron/AsmTran / LSTM Seq2Seq with attention,Neutron/AsmTran (attention-based LSTM Seq2Seq + Segmentation sub-model EC1 + rule-based Function Reconstructor EC2),Recovery,Symbol-name / pseudocode generation,Decompiled code sequence,Accuracy
P146,D22,NDSS,TRUE,DeGPT: Optimizing Decompiler Output with LLM,Decompiled code,Pseudocode recovery (decompilation),Static > Decompilation,pseudo code,Code representations,Code representation -> Sequence,Sequence,N/A,Function-level (one Ghidra-produced function per optimization round; 620 functions total across LeetCode 170 + Mirai 40 + Coreutils 310 + AudioFlux 100),Data-driven segmentation,Subword (Pretrained-LLM,Built-in llm tokenizer,Sparse,N/A,N/A,N/A,N/A,LLM-based,LLM-prompting,No,N/A,LLM,DeGPT (ChatGPT gpt-3.5-turbo orchestrated via three-role mechanism R_ref/R_adv/R_ope + MSSC rule-based semantic fidelity checker),Recovery,Symbol-name / pseudocode generation,Refined decompiled code,Meaningful Variable Ratio (MVR); Effort Ratio (ER); Correct Rate of Comments (CR); Non-trivial Rate of Comments (NR); Optimized Name Ratio (ONR); user-study Likert scores; task-answer accuracy
P147,D22,EMNLP,FALSE,LLM4Decompile: Decompiling Binary Code with Large Language Models,"Assembly, Decompiled code",Pseudocode recovery (decompilation),Static > Disassembly | Static > Decompilation,Disassembled x86 assembly code (LLM4Decompile-End) | Ghidra decompiler output/C pseudo-code (LLM4Decompile-Ref),Code representations; Code representations,Code representation -> Sequence,Sequence,,Function-level (per-function disassembled ASM) | Function-level (per-function Ghidra pseudo-code),data-driven,Inherited LLM tokenizer,Inherited LLM tokenizer,,Dense,Inherited LLM tokenizer,Context-dependent,DeepSeek-Coder decoder-only Transformer hidden states (fine-tuned end-to-end); DeepSeek-Coder decoder-only Transformer hidden states,Generative,Generative,Yes,,LLM / decoder-only Transformer,LLM4Decompile (fine-tuned DeepSeek-Coder 1.3B/6.7B/33B; two-stage training for End2end; LLaMA-Factory fine-tuning),Recovery,Symbol-name / pseudocode generation,Generated pseudo-C source,Re-executability rate; Edit similarity
P148,D22,USENIX Security,TRUE,Decompiling x86 Deep Neural Network Executables,Assembly,Pseudocode recovery (decompilation),Static Analysis > Disassembly | Dynamic Analysis > Execution tracing | Dynamic Analysis > Dynamic taint analysis; Security Testing > Symbolic execution,Assembly | Instruction trac; memory-access trace; runtime-value trace | Taint trace; Symbolic constraint; Symbolic expression,Code representations | Text Streams; Text Streams; Text Streams | Text Streams; Logical Expressions; Logical Expressions,Code representations -> Sequence | Text Streams; Text Streams; Text Streams -> Graph | Text Streams; Logical Expressions; Logical Expressions -> Numeric descriptor,Sequence | Graph | Numeric descriptor,N/A | Structural transformation | N/A,Function-level (assembly function per DNN operator; (one or a few fused) DNN operators compiled into one assembly function) | Per-callsite memory address (Intel Pin hooks every callsite at runtime to record input/output addresses) | One iteration of outermost loop (sufficient as a complete output element is reflected in this subtrace),Data-driven segmentation | N/A | N/A,Subword (BPE) | N/A | N/A,Byte pair encoding (BPE),Sparse | Dense | Dense,N/A,N/A | N/A | N/A,Context-dependent | N/A | N/A ,attention-based LSTM | N/A | N/A,Discriminative | Rule-based reasoning | Rule-based reasoning,Classification | Deterministic reasoning | Deterministic reasoning,Yes | No | No,attention-based LSTM | N/A | N/A,LSTM with attention + callsite trace-based topology recovery -> taint-reduced symbolic execution + constraint-pattern recovery,BTD neural identifier (LSTM+attention; multi-label classification) + Intel Pin (topology) + taint analysis+SE (dimension/parameter recovery),Recovery,Symbol-name / pseudocode generation,Decoded DNN operator sequence,DNN operator inference accuracy; network topology correctness; dimension inference accuracy; parameter inference accuracy; recompilation behavioral equivalence
P149,D24,ICLR,TRUE,Nova: Generative language models for assembly code with hierarchical attention and contrastive learning,Assembly,Code representation learning,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element removal; Element replacement,Function-level (every C function treated as a separate data point; per-instruction address replaced with [INST-i] label at end of each instruction to encapsulate instruction summaries),data-driven,Pretrained-LLM subword,Built-in llm tokenizer,Dense,N/A,N/A,Context-dependent,DeepSeek-Coder decoder-only Transformer hidden states (1.3B / 6.7B) with hierarchical self-attention (intra-instruction yellow / preceding-instruction light-green / inter-instruction dark-green via [INST] labels); average of all [INST] hidden states from last Transformer layer as function embedding,Generative,Generative,Yes,,Nova / decoder-only Transformer,Nova (decoder-only LLM with hierarchical self-attention; pre-trained with language modeling + functionality contrastive learning + optimization contrastive learning; fine-tuned for binary code decompilation and BCSD),Recovery,Symbol-name / pseudocode generation,Assembly LM hidden states + generated code,Pass@1; Pass@10
P150,D14,NeurIPS,TRUE,EMBERSim: A Large-Scale Databank for Boosting Similarity Search in Malware Analysis,Byte,Malware family classification,Triage > Structural analysis; Triage > Binary profiling,Header; sections; imports; exports; histogram; entropy; strings,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics; Numerical Statistics; String Literals,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics; Numerical Statistics; String Literals-> Numeric descriptor,Numeric descriptor,N/A,Sample-level (one EMBER feature vector per binary; AVClass v2 tag enrichment via co-occurrence threshold T per Algorithm 1),N/A,N/A,N/A,Dense,Dense,N/A,N/A,N/A,Discriminative,Detection,Yes,N/A,Gradient-boosted decision tree ensemble (XGBoost),"XGBoost gradient-boosted decision tree ensemble (max_depth=17, n_estimators=2048, eta=0.15)",Detection,Similarity scoring,Pairwise malware similarity score,Top-K label homogeneity; Relevance@K; Exact match; Jaccard index; Normalized edit similarity; mAP
P151,D14,USENIX Security,TRUE,DeepReflect: Discovering Malicious Functionality through Binary Reconstruction,Assembly,Malware family classification,Static > Disassembly; Call-site analysis,assembly; ICFG,Code representaion; Graph representation,Code representaion; Graph representation -> Numeric descriptor,Numeric descriptor,Feature value scaling,Function-level (per-function basic blocks from BinaryNinja CFG; m = first 20000 basic blocks per binary because 95 percent of dataset samples have <= 20K basic blocks),N/A,N/A,N/A,Dense,Dense,N/A,Context-independent,Autoencoder,Discriminative,Detection,Yes,Autoencoder,autoencoder + LMSE RoI detection + PCA + HDBSCAN clustering,DeepReflect: U-Net autoencoder reconstruction (MSE) -> per-block RoI score (LMSE > threshold) -> HDBSCAN clustering -> semi-supervised MITRE ATT&CK label propagation,Clustering,Density / centroid-based clustering,Discovered malicious behavior clusters,MSE; localized MSE (LMSE); ROC curve; true positive rate (TPR); false positive rate (FPR); top-100 precision; Silhouette Coefficient; Davies-Bouldin Score; analyst-cluster match rate; highlighted-function percentage / search-space reduction
P153,D13,SANER,FALSE,Site Neural Networks: A Graph Neural Network Approach to Toolchain Provenance,Stripped binary,Toolchain provenance classification,Static > Disassembly + Concolic CFG (angr),CFG of whole binary program,Graph representations,Graph representation -> Forgetting CFG -> Chopped sites -> Graph,Graph,Sequential-instruction node collapsing + node-type relabeling,Program-level (whole binary CFG chopped into 'sites' = fixed-size disconnected subgraphs of at most alpha nodes via BFS Algorithm 1; alpha selected as 32 based on RQ2 ablation),N/A,N/A,N/A,,Dense,2-dim node feature (instruction-type label + unique ID),Context-dependent,GCN (4 dense conv with adaptive max-pool),Discriminative,Classification,Yes,,GCN + MLP multi-expert ensemble,SNN: 4 GCN dense conv (dim 8) + 4 adaptive max-pool layers + 4-layer MLP (384/256/128/2) + cross-entropy; hierarchical multi-expert (34 SNN experts) for compiler family/optimization/version,Classification,Multi-class classification,Predicted compiler family + optimization level + compiler version per binary (toolchain provenance),Macro-averaged F1-score; Precision; Recall; F1-score
P154,D05,ASE,FALSE,αDiff: Cross-Version Binary Code Similarity Detection with DNN,Stripped binary functions,Code similarity detection,Static > Disassembly (IDA Pro 6.8),Raw function bytes; call-graph in/out degree; imported function set,Code representations | Graph representations | Code representations,Code representation -> Image (100x100x1) | Graph representation -> Numeric descriptor | Code representation -> Numeric descriptor,Image | Numeric descriptor | Numeric descriptor,Function-byte tensor padding/truncation,Function-level (per-function raw bytes; pad/truncate to exactly 10000 bytes then reshape to 100x100x1 tensor since only 0.01 percent of dataset functions have >10K bytes) | Function-level (per-function in-degree + out-degree from call graph) | Function-level (per-function imported function set via set-membership encoding h(set; superset) = <x_1; x_2; ...; x_N> where x_i=1 if i-th element of superset is in set; else 0),N/A | N/A | N/A,N/A | N/A | N/A,N/A,,Dense | Dense | Dense,100x100x1 byte tensor fed to 2D-CNN | 2-dim degree vector | N-dim binary set-membership vector,Context-dependent | Context-independent | Context-independent,Siamese 2D-CNN (8 convolution + 8 batch normalization + 4 max pooling + 2 fully-connected; ReLU activation; 1.6M parameters; 64-dim embedding output) | N/A (raw 2-dim degree) | N/A (raw set-membership vector),Discriminative,Detection,Yes,,alphaDiff / Siamese 2D-CNN,alphaDiff: Siamese 2D-CNN + contrastive loss + semi-hard 4-tuple negative mining (margin m=1.0); overall distance D = D1 + (1-xi^D2)*D3 (intra+inter+inter-mod),Detection,Ranking / Top-K retrieval,Ranked list of candidate matching functions across versions/compilers/architectures,Average Recall@1; Average Recall@5; Average MRR; Cross-compiler-vendor & cross-compiler-version matching accuracy; Cross-compiler-vendor & cross-optimization-level matching accuracy
P155,D05,SANER,FALSE,XLIR: Cross-Language Binary-Source Code Matching via Intermediate Representations,Stripped binary | Source code,Code similarity detection (cross-language),Static > LLVM-IR lifting (RetDec) |  Static > LLVM-IR lifting (Clang/JLang),LLVM-IR instruction sequence | LLVM-IR instruction sequence,Code representations | Code representations,Code representation -> LLVM-IR -> Sequence | Code representation -> LLVM-IR -> Sequence,Sequence | Sequence,"IR sequence (bitcode form, SSA)",Function-level (one LLVM-IR sample per function; 17683 train + 6181 validation + 6494 test from CLCDSA dataset compiled with -O0 / gcc + LLVM Clang + x86-32/x86-64/arm-32/arm-64 = 32 different object files per source file) | Function-level (one LLVM-IR sample per function),Data-driven | Data-driven,Subword (BPE) | Subword (BPE),Subword (BPE) (Byte Pair Encoding) subword tokenization with CLS/SEP/EOS/MASK,,Dense | Dense,256-dim contextual token embedding,Context-dependent | Context-dependent,IR-BERT Transformer encoder | IR-BERT Transformer encoder,Discriminative,Detection,Yes,,XLIR / BERT-style Transformer,"XLIR: IR-BERT pre-trained via MLM on 48M LLVM-IR instructions + triplet contrastive fine-tuning (margin alpha=0.06, cosine similarity)",Detection,Matching,Matched binary-source pairs across C/C++/Java languages (cosine similarity > threshold 0.80),Precision; Recall; F1-score
